id;title;authors;year;venue;search_strings
153;CI/CD Configuration Practices in Open Source Android Apps: An Empirical Study;"Ghaleb, Taher A.; Abduljalil, Osamah; Hassan, Safwat";2026;ACM Transactions on Software Engineering and Methodology;String C
154;Memory and resource leak defects and their repairs in Java projects;"Ghanavati, Mohammadreza; Costa, Diego; Seboek, Janos; Lo, David; Andrzejak, Artur";2020;Empirical Software Engineering;String C
155;The whos, whats, and whys of issues related to personal data and data protection in open-source projects on GitHub;"Hennig, Anne; Schulte, Lukas; Herbold, Steffen; Kulyk, Oksana; Mayer, Peter";2025;Empirical Software Engineering;String C
156;Bounties in Open Source Development on GitHub: A Case Study of Bountysource Bounties;"Zhou, Jiayuan; Wang, Shaowei; Bezemer, Cor-Paul; Zou, Ying; Hassan, Ahmed E.";2019;;String C
157;How disabled tests manifest in test maintainability challenges?;"Kim, Dong Jae; Yang, Bo; Yang, Jinqiu; Chen, Tse-Hsun (Peter)";2021;Proceedings of the 29th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering;String C
158;A mixed-methods analysis of micro-collaborative coding practices in OpenStack;"Foundjem, Armstrong; Constantinou, Eleni; Mens, Tom; Adams, Bram";2022;Empirical Software Engineering;String C
159;A Study of Bug Management Using the Stack Exchange Question and Answering Platform;"Bhatia, Aaditya; Wang, Shaowei; Asaduzzaman, Muhammad; Hassan, Ahmed E.";2022;IEEE Transactions on Software Engineering;String C
160;Mining app reviews to support software engineering;Dąbrowski, Jacek;2022;;String C
161;Hierarchical Knowledge Injection for Improving LLM-based Program Repair;"Ehsani, Ramtin; Parra, Esteban; Haiduc, Sonia; Chatterjee, Preetha";2025;2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE);String C
162;On the Use of Commit Messages for Corrective Software Maintenance: A Systematic Mapping Study;"Islam, Syful; Zacchiroli, Stefano";2026;;String C
163;Detecting Emerging Quality-Related Concerns Across Evolving Software Artifacts - ProQuest;;;;String C
164;Predicting Defective Lines Using a Model-Agnostic Technique;"Wattanakriengkrai, Supatsara; Thongtanunam, Patanamon; Tantithamthavorn, Chakkrit; Hata, Hideaki; Matsumoto, Kenichi";2022;IEEE Transactions on Software Engineering;String C
165;A User-Centered Classification Approach to Prioritization of User Reviews for Software Maintenance;"Sakonwijitree, Luxsipang; Senivongse, Twittie";2026;Proceedings of the 2025 9th International Conference on Software and e-Business;String C
166;Fine-grained Multi-Document Extraction and Generation of Code Change Rationale;"Sun, Mehedi; Saha, Antu; Silva, Nadeeshan De; Mastropaolo, Antonio; Chaparro, Oscar";2026;;String C
167;dro.deakin.edu.au/articles/thesis/A_Protocol_for_Effective_Resolution_of_Machine_Learning_Issues/31697284/1/files/62745010.pdf;;;;String C
168;An Empirical Study on the Characteristics of Database Access Bugs in Java Applications;"Liu, Wei; Mondal, Shouvick; Chen, Tse-Hsun (Peter)";2024;ACM Transactions on Software Engineering and Methodology;String C
169;A Survey of LLM-based Automated Program Repair: Taxonomies, Design Paradigms, and Applications;"Yang, Boyang; Cai, Zijian; Liu, Fengling; Le, Bach; Zhang, Lingming; Bissyandé, Tegawendé F.; Liu, Yang; Tian, Haoye";2025;;String C
170;On the usage and development of deep learning compilers: an empirical study on TVM;"Wu, Xiongfei; Yang, Jinqiu; Ma, Lei; Xue, Yinxing; Zhao, Jianjun";2022;Empirical Software Engineering;String C
171;On the Answer Status and Usage of Requirements Traceability Questions - ProQuest;;;;String C
172;Towards Pragmatic Incivility Management in Software Engineering - ProQuest;;;;String C
173;SENET: A Semantic Web for Supporting Automation of Software Engineering Tasks;"Liu, Yalin; Lin, Jinfeng; Cleland-Huang, Jane; Vierhauser, Michael; Guo, Jin; Lohar, Sugandha";2020;2020 IEEE Seventh International Workshop on Artificial Intelligence for Requirements Engineering (AIRE);String C
174;Broken External Links on Stack Overflow;"Liu, Jiakun; Xia, Xin; Lo, David; Zhang, Haoxiang; Zou, Ying; Hassan, Ahmed E.; Li, Shanping";2022;IEEE Transactions on Software Engineering;String C
175;Building sustainable open-source communities : an investigation into contribution equity;Feng, Zixuan;;;String C
176;Quantifying, Characterizing, and Mitigating the Ghost Commit Problem when Identifying Fix-Inducing Changes - ProQuest;;;;String C
177;Understanding and Locating Quality Issues in the Database Access Code of Database-Backed Applications;Liu, Wei;2024;;String C
178;การจัดลำดับความสำคัญของบทวิจารณ์ของผู้ใช้ซอฟต์แวร์โดยคำนึงถึงประสบการณ์ผู้ใช้โดยใช้การเรียนรู้ของเครื่อง;สาครวิจิตรี, ลักษณ์สิปาง;2024;Chulalongkorn University Theses and Dissertations (Chula ETD);String C
179;Historical Spectrum Based Fault Localization;"Wen, Ming; Chen, Junjie; Tian, Yongqiang; Wu, Rongxin; Hao, Dan; Han, Shi; Cheung, Shing-Chi";2021;IEEE Transactions on Software Engineering;String C
180;Security Bug Report Usage for Software Vulnerability Research: A Systematic Mapping Study;"Bhuiyan, Farzana Ahamed; Sharif, Md Bulbul; Rahman, Akond";2021;IEEE Access;String D
181;Revisiting Defects4J for Fault Localization in Diverse Development Scenarios;"Rafi, Md Nakhla; Chen, An Ran; Chen, Tse-Hsun Peter; Wang, Shaohua";2025;2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR);String D
182;Automatic Issue Relation Prediction;Kässmann, Tobias;;;String D
183;Sentiment Analysis for Requirements Elicitation from App Reviews: A Systematic Mapping Study;"Wan, Hongyan; An, Zhiquan; Wang, Bangchao; Xiong, Teng";2023;2023 30th Asia-Pacific Software Engineering Conference (APSEC);String D
184;CrowdTest: Gamification as Cognitive Support to Improve Bug Report Quality in Crowdsourced Software Testing;Gautam, Prabin;2026;Journal of Soft Computing Paradigm;String E
185;Towards a Human-in-the-Loop Framework for Reliable Patch Evaluation Using an LLM-as-a-Judge;"Shi, Sherry; Wei, Renyao; Tufano, Michele; Cambronero, José; Cheng, Runxiang; Ivančić, Franjo; Rondon, Pat";2025;;String E
186;Detecting Feature Requests of Third-Party Developers through Machine Learning: A Case Study of the SAP Community;"Kauschinger, Martin; Vieth, Niklas; Schreieck, Maximilian; Krcmar, Helmut";2023;;String E
187;Cryptography Vulnerabilities on HackerOne;"Hazhirpasand, Mohammadreza; Ghafari, Mohammad";2021;2021 IEEE 21st International Conference on Software Quality, Reliability and Security (QRS);String E
188;What Causes Bugs in Numerical Simulation Software? An Empirical Study;"Li, Xiaochen; Zhu, Youcheng; Guo, Shikai; Jiang, He";2025;IEEE Transactions on Reliability;String E
189;Structured representations for inspectable AI : knowledge graphs and latent trees;Thoma, Ethan;2026;;String E
190;A Comprehensive Study of OOP-Related Bugs in C++ Compilers;"Wang, Bo; Chen, Chong; Chen, Junjie; Xu, Bowen; Ye, Chen; Lin, Youfang; Dong, Guoliang; Sun, Jun";2025;IEEE Transactions on Software Engineering;String E
191;A Systematic Literature Review of Empirical Methods and Risk Representation in Usable Privacy and Security Research;"Distler, Verena; Fassl, Matthias; Habib, Hana; Krombholz, Katharina; Lenzini, Gabriele; Lallemand, Carine; Cranor, Lorrie Faith; Koenig, Vincent";2021;ACM Transactions on Computer-Human Interaction (TOCHI);String E
192;Data Readiness for AI: A 360-Degree Survey;"Hiniduma, Kaveen; Byna, Suren; Bez, Jean Luca";2025;ACM Computing Surveys;String E
193;Expanding Fix Patterns to Enable Automatic Program Repair;"Nowack, Vesna; Bowes, David; Counsell, Steve; Hall, Tracy; Haraldsson, Saemundur; Winter, Emily; Woodward, John";2021;2021 IEEE 32nd International Symposium on Software Reliability Engineering (ISSRE);String E
194;A survey on machine learning techniques applied to source code;"Sharma, Tushar; Kechagia, Maria; Georgiou, Stefanos; Tiwari, Rohit; Vats, Indira; Moazen, Hadi; Sarro, Federica";2024;Journal of Systems and Software;String E
195;Assessing Urdu Language Processing Tools via Statistical and Outlier Detection Methods on Urdu Tweets;"Zoya; Latif, Seemab; Latif, Rabia; Majeed, Hammad; Jamail, Nor Shahida Mohd";2023;ACM Transactions on Asian and Low-Resource Language Information Processing;String E
196;Bolstering the Persistence of Black Students in Undergraduate Computer Science Programs: A Systematic Mapping Study;"Belle, Alvine B.; Sutherland, Callum; Adesina, Opeyemi O.; Kpodjedo, Sègla; Ojong, Nathanael; Cole, Lisa";2023;ACM Transactions on Computing Education;String E
197;Enhancing Dialectal Arabic Sentiment Analysis Using Deep Learning;"Ali, Abbas; Barışçı, Necaattin";2026;ACM Transactions on Asian and Low-Resource Language Information Processing;String E
